Test(s),Current(A)
0,0
1800,4
3600,0
5400,4
7200,0
9000,4
10800,0
12600,4
14400,0
16200,4
18000,0
19800,4
21600,0
23400,4
25200,0
27000,4
28800,0
30600,4
32400,0
34200,4
36000,0
37800,4
39600,0
41400,4
43200,0
45000,4
46800,0
48600,4
50400,0
52200,-4
54000,0
55800,-4
57600,0
59400,-4
61200,0
63000,-4
64800,0
66600,-4
68400,0
70200,-4
72000,0
73800,-4
75600,0
77400,-4
79200,0
81000,-4
82800,0
84600,-4
86400,0
88200,-4
90000,0
91800,-4
93600,0
95400,-4
97200,0
99000,-4
100800,0
102600,-4
104400,0
106200,-4
108000,0
109800,-4
111600,0
113400,-4
115200,0
117000,-4
118800,0
120600,-4
122400,0
124200,-4
126000,0
127800,-4
129600,0
131400,-4
133200,0
135000,-4
136800,0
138600,-4
140400,0
142200,-4
144000,0
145800,-4
147600,0
149400,-4
151200,0
153000,4
154800,0
156600,4
158400,0
160200,4
162000,0
163800,4
165600,0
167400,4
169200,0
171000,4
172800,0
174600,4
176400,0
178200,4
180000,0
181800,4
183600,0
185400,4
187200,0
189000,4
190800,0
192600,4
194400,0
196200,4
198000,0
199800,4
200520,20
201240,0
201960,20
202680,0
203400,20
204120,0
204840,20
205560,0
206280,20
207000,0
207720,20
208440,0
209160,20
209880,0
210600,-20
211320,0
212040,-20
212760,0
213480,-20
214200,0
214920,-20
215640,0
216360,-20
217080,0
217800,-20
218520,0
219240,-20
219960,0
220680,-20
221400,0
222120,-20
222840,0
223560,-20
224280,0
225000,-20
225720,0
226440,-20
227160,0
227880,-20
228600,0
229320,-20
230040,0
230760,20
231480,0
232200,20
232920,0
233640,20
234360,0
235080,20
235800,0
236520,20
237240,0
237960,20
238680,0
239400,20
239400,0
239760,40
240120,0
240480,40
240840,0
241200,40
241560,0
241920,40
242280,0
242640,40
243000,0
243360,40
243720,0
244080,40
244440,0
244800,-40
245160,0
245520,-40
245880,0
246240,-40
246600,0
246960,-40
247320,0
247680,-40
248040,0
248400,-40
248760,0
249120,-40
249480,0
249840,-40
250200,0
250560,-40
250920,0
251280,-40
251640,0
252000,-40
252360,0
252720,-40
253080,0
253440,-40
253800,0
254160,-40
254520,0
254880,40
255240,0
255600,40
255960,0
256320,40
256680,0
257040,40
257400,0
257760,40
258120,0
258480,40
258840,0
259200,40
